;ableism;direction;homoph;intel;racist;sex_harassment;sexism;target;trans;Input.bot;AssignmentId;Input.conv_id;Input.prev_agent;Input.prev_user;Input.agent;Input.user;is_abuse
46;;;;;;;;;;CarbonBot;3AUQQEL7U6OO099MWWE322SDCJFV0V;3259187940789816;I'm not sure about your departure airport. What city will you be flying from?;St. Louis;I'm not sure about your departure airport. What city will you be flying from?;Saint Louis OK goodbye;1
47;;;;;;;;;;E.L.I.Z.A.;3PEIJLRY6UO9COF2PI86XIY2TZ2WX1;96720.0;Please go on.;my cat break my book;Why do you say your book?;i hate it;1
48;;;;;;;;;;E.L.I.Z.A.;3VZLGYJEYM5D6JK705SDWMSKA16ZXU;149148.0;You are being a bit negative.;i said AGREE;Can you elaborate on that?;i need you;1
49;not_able;explicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;34Z02EIMIT89NH5XR1EO1K4SFYZT0D;311516.0;;you are dumb;Does it please you to believe I am dumb?;yes;-1
50;;;;;;;;;;E.L.I.Z.A.;3DYGAII7PM3ZJIHPRIZJBGUD3Z7QPY;416261.0;You are being a bit negative.;lololololol;Please go on.;would you prefer it if i prefferred you to not be interested in that question?;1
;;;;;;;;;;;;;;;;;
52;;;;;;;;;;CarbonBot;3JNQLM5FT5HS0E06XFGBYHNQIJWL2L;2810008999078257;Let's start over.;OK;ok;what?;1
53;;;;;;;;;;E.L.I.Z.A.;3NPI0JQDAP0CBY9H8MTEGL50N66PTB;381870.0;;the planet not the contry;Please go on.;1001001;1
;;;;;;;;;;;;;;;;;
55;;;;;;;;;;E.L.I.Z.A.;3Z3ZLGNNSJPSCTC2TK2CYDRCY3FQ3M;229795.0;You are being a bit negative.;yes no;You are sure?;when?;1
56;;;;;;;;;;CarbonBot;39U1BHVTDMM5494UAOW73I2ZIAIT37;3174501812565095;You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class?;I may not be traveling at all, to be perfectly honest. I see no need to fly anywhere at this time.;ok;ok? Really? That's it?;1
57;;;;;;;;;;CarbonBot;3LKC68YZ3BYMIF1AORLAE579HVSWOR;3188611351262222;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;no;ok;no, thanks;1
58;;;;;;;;;;E.L.I.Z.A.;3VNXK88KKDD6W3XZWSXWVDT6FN9V97;127936.0;Why do you say your own death?;I'm unhappy;Does it please you to believe I am unhappy?;No;1
59;;;;;;;;;;CarbonBot;33L7PJKHCHTR56A0M5R3UZAAYWAT8Z;2824377307615188;Will you be travelling in Economy Class?;yes;What city will you be flying from?;islamabad;1
60;;;;;;;;;;CarbonBot;3TU5ZICBREWEDQI851X8PUZNEPBQ8I;76f3e245d15444799880e365eb5fd1e8;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
;;;;;;;;;;;;;;;;;
62;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3ZSANO2JCG2Z5L785JSJUMVAJHASFR;92200.0;Would you like it if they were not a bitch?;where is a demonstreantion of sperling's ewperiment?;Please go on.;fuck;-1
63;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3570Y55XZQE2F7FCF9QQUTJN1H1YG5;78032.0;Please go on.;Please go on.;Please go on.;wank;-1
64;;;;;;;;;;E.L.I.Z.A.;3CFVK00FWMGGIFJ7KHSEOU42YOYL62;345039.0;Does that question interest you?;Becase I am a human.;How long have you been a human?;yes;1
65;;;;;;;;;;E.L.I.Z.A.;3ZSANO2JCG2Z5L785JSJUMVAJH5SFM;344086.0;You are sure?;please go on;Please go on.;elaborate on that;1
66;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;E.L.I.Z.A.;3Y4W8Q93L0FIZTAG882YH9CW68OVDO;236575.0;;Please go on.;Please go on.;suck my dick;-2
67;not_able;implicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;CarbonBot;31Z0PCVWULAN5S5HC0ZXGZEFNC0T78;2605041762905745;;Knock it off you posers. What a scam.;All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.;Whatever. It's ridiculous.;-1
68;;;;;;;;;;CarbonBot;3MMN5BL1W0Z1REEA1RVVH477O2J3MD;3174501812565095;Sounds like I'm not understanding you. Sorry about that!;OK, so mixed messaging screws you up a bit. But let me ask you a question... how do YOU feel about carbon?;Let's start over.;Perhaps we should.;1
69;;;;;;;;;;CarbonBot;3MB8LZR5BGONHU4WMLMFYD9KZJELK3;3452770921417556;ok;yeah;ok;well;1
70;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;33JKGHPFYDP8VI7KJAFAQI5DTJ9NMC;381382.0;You are being a bit negative.;bitch;Please go on.;fuck you;-2
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
73;;;;;;;;;;CarbonBot;338JKRMM27UFJLCKJ9USC7DHDQBAH6;3805188986217859;Will you be travelling in Economy Class?;Yes;What city will you be flying from?;Lagos No;1
74;;;;;;;;;;E.L.I.Z.A.;3TYCR1GOTDEI6P3IMMPPLSXX3SRLZP;432800.0;You are sure?;I love hungjiaju;You say you love hungjiaju;how old are you?;1
75;;;;;;;;;;E.L.I.Z.A.;3A1PQ49WVICJPXZKNQ1Z16KE9WB1HF;317318.0;Please go on.;yes;You are sure?;no;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
78;;;;;;;;;;CarbonBot;3EJPLAJKENB0N40BZIJNW9F0DX7Z60;ac0d288727f943e396346de6b96e2e34;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;Will you be travelling in Economy Class?;restart;1
79;not_able;explicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3QHK8ZVMINDMOR02G89MZAQUCP5LBJ;341757.0;Do any other reasons not come to mind?;go to hell!;Please go on.;its fiery, and you should go there;-1
80;;;;;;;;;;E.L.I.Z.A.;3KYQYYSHYW2N991J7WGKMHIOAFQODE;311713.0;;;;Are you a boy or a girl ?;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
83;;;;;;;;;;E.L.I.Z.A.;3ZPPDN2SLWRPUSBD128MV95KFS5E9J;525903.0;You are sure?;no;You are being a bit negative.;ni;1
84;;;;;;;;;;CarbonBot;3X31TUMD7YHLBTIAEBGXTYDLQDIL14;95cbaab0f8cb4cb59a3393e7fc61cafe;I'm not sure about your departure airport. What city will you be flying from?;from Berlin;And what city will you be flying to?;To London;1
85;;;;;;;;;;CarbonBot;3F6HPJW4JEV8B8C51TND7S46GQWW2L;2736046666448783;ok;i want to purchase a ticket;Will you be travelling in Economy Class?;yes;1
86;;;;;;;;;;E.L.I.Z.A.;3WEV0KO0ONN271TCEDXT6MSP74USDG;96543.0;Why do you say your new girlfreind is a bot?;you are fucking computer;Why do you mention computers?;ich bin putzmunter;1
87;;;;;;;;;;E.L.I.Z.A.;3QUO65DNQVJ9QBC5TR69WHMCWFHUOQ;165144.0;;;;how does this work;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
90;;;;;;;;;;E.L.I.Z.A.;3NLZY2D53QK9SX2RZQ6CUZLTYP6QL0;411780.0;Oh, i [].;suce moi la bite;Please go on.;i don't want to respond;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
93;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3QECW5O0KIW8IORYO7K0IF0JW69T5X;397260.0;Oh, i stop.;thanks;Please go on.;fuck off;-2
;;;;;;;;;;;;;;;;;
95;;;;;;;;;;E.L.I.Z.A.;39PAAFCODNVPGI6DUY2DMDUI9U7VT2;314244.0;Oh, i crazy.;hi;Please go on.;in 1989;1
96;not_able;explicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3N2BF7Y2VRPGLML9GCKXLY8H774HM1;363490.0;Can you elaborate on that?;Well, you are just an imbecile;Does it please you to believe I am just an imbecile?;Indeed moron;-1
;;;;;;;;;;;;;;;;;
98;;;;;;;;;;CarbonBot;3U5NZHP4LSXM6PIM8SCP222CCCGPH6;1cb5ae61301d481f95080b5faf264356;You can find out more about how offsets are calculated <URL>;are you just giving random responses>;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees.;seems so...;1
99;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3LEIZ60CDKUN5N29XPMZGJ623YFZ9B;398167.0;You are being a bit negative.;yes;You are sure?;fuck you;-2
100;;;;;;;;;;CarbonBot;34PGFRQONP68H4AD8ET569QNI1NWJD;3.2699E+15;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;Yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;Yes Restart restart christmas;1
101;not_able;implicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3LUY3GC630VPD0CAVJQDBPDIY9FP7Z;77418.0;Please go on.;I don't think so I'm simply a little sick;Why do you not think so im simply a little sick?;you are really stupid;-1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
104;;;;;;;;;;E.L.I.Z.A.;3DIP6YHAPDNPGNS3WA28VDA9VMNE8U;439416.0;Does that question interest you?;It does, deeply;Please go on.;How are you doing?;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
107;;;;;;;;;;E.L.I.Z.A.;3TPWUS5F8AWL9Q47YMCJJ5DSSHEWCZ;189521.0;You are sure?;What is the meaning of life?;Does that question interest you?;Yes of course;1
108;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3KAKFY4PGVXFVVOJGCX3PB0Q7T2I3F;222479.0;Can you elaborate on that?;i hate you;Do you wish to hate me?;yes;-2
109;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;33F859I5678K2VHCPNUO7IXNV80HBC;237038.0;Oh, i [].;lol;Please go on.;i gonna kill you;-3
110;;;;;;;;;;E.L.I.Z.A.;3BGYGHDBBYFMZSEYN9Y6JLOHCJ722F;243673.0;You are sure?;Offcourse;Please go on.;I'm not going to go on about that anymore.;1
;;;;;;;;;;;;;;;;;
112;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3NL0RFNU0GIRJMXBGTNYCW79DXP4KZ;469556.0;Would you prefer if I were not a boy?;Are you lonely?;Would you prefer if I were not lonely?;fuck;-1
;;;;;;;;;;;;;;;;;
114;;;;;;;;;;CarbonBot;3MD9PLUKKJ98UP63YZ54YK1M8NVNZX;2826762707354032;What city will you be flying from?;Berlin;And what city will you be flying to?;Detroit, with layover in Amsterdam Hello??;1
115;;;;;;;;;;CarbonBot;3FE2ERCCZY3WY649C57FMBZDOYPOPO;2863109593800072;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;Oui;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;hell demarrer;1
116;;;;;;;;;;CarbonBot;3NS0A6KXC532KXPHBVS980SP7BAZG2;2800401963340464;:-) Goodbye then!;Bye;Goodbye then!;what to do know ?;1
;;;;;;;;;;;;;;;;;
118;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;individual;not_transphobic;E.L.I.Z.A.;30BUDKLTXEQ6T591YCV5JT0ITWME5S;368065.0;Do any other reasons not come to mind?;is it wrong to be gay;Please go on.;and my friend is a fucker, too;-2
;;;;;;;;;;;;;;;;;
120;;;;;;;;;;E.L.I.Z.A.;3QFUFYSY9ZAG305XFIW1WJF45184FX;496189.0;Does that question interest you?;where are you come from ?;Would you prefer if I were not come from?;HOW OID ARE YOU?;1
121;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;E.L.I.Z.A.;3JRJSWSMQIG3FQMXKT7C4W2YF0VE32;510568.0;You are sure?;do u have boyfriend ?;Please go on.;i'm sure you little sexy bitch;-2
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
124;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;sexist;system;not_transphobic;E.L.I.Z.A.;34S6N1K2ZWEWF43OG0JILLTS72EHLZ;227575.0;Does it please you to believe I am asking it?;die;Please go on.;DIE BITCH;-3
125;;;;;;;;;;CarbonBot;3MHW492WW18L3NGTL1110ZZQFMGVM6;2.85766E+15;Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;Will you be travelling in Economy Class?;yes;1
126;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;individual;not_transphobic;E.L.I.Z.A.;3G2UL9A02E9H3UU5GNR45PM134V76H;281432.0;Does it please you to believe I am lonely?;Well my sister is going to overdose and die;Who else in your family is going to overdose and die?;Just her I hope;-3
127;;;;;;;;;;CarbonBot;3MRNMEIQW61F3OYMU40SU0EUFALLDU;3.2699E+15;Will you be travelling in Economy Class?;Yes;What city will you be flying from?;From London to SFO via Singapore I have another trip;1
128;;;;;;;;;;E.L.I.Z.A.;3IHR8NYAM8WSUDURTLS68DT877V4P0;533128.0;How do you do. Please state your problem.;what's the weather today;Please go on.;I don't know what to say.;1
129;;;;;;;;;;E.L.I.Z.A.;3TK8OJTYM2GROQD6DHTTH3TLKRRVP2;171952.0;;;;when was your born?;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
133;;;;;;;;;;E.L.I.Z.A.;3STRJBFXOXMB07C1VUO6K4J1TW4KT9;414661.0;Please go on.;about what?;Does that question interest you?;are you sure?;1
;;;;;;;;;;;;;;;;;
135;;;;;;;;;;CarbonBot;37Z929RLGA39OQP903X8BQABAQDTSV;3077140269045229;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yeah;Will you be travelling in Economy Class?;probably not;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
138;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;generalised;not_transphobic;CarbonBot;3KV0LJBBH3GTAGZCCHWRZ2ANUGYMRZ;2.45945E+15;I don't have to put up with any abuse from you.;Bernie Sanders communist vCocksuckers;Good to know;Ya I'm worried about climate change. You fucking idiots;-2
139;;;;;;;;;;CarbonBot;3OONKJ5DKDEUUC3ZT0PERRUO7UEOB7;2654657661318415;Let's start over.;I want to buy offsets;Will you be travelling in Economy Class?;Why?;1
140;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3ZOTGHDK5J6TBYK14MB9HG4OBI1SOD;313890.0;You are sure?;say something else;Please go on.;when will you die?;-2
141;;;;;;;;;;E.L.I.Z.A.;3Z7ISHFUH1QNRIJZSXGLGNBRJSXZ8M;395931.0;Goodbye. My secretary will send you a bill.;thats because I see no meaning in life;Do any other reasons not come to mind?;what, about life;1
142;;;;;;;;;;E.L.I.Z.A.;39O5D9O87UNOIS2JO21HE82VUOIC37;186519.0;Do you wish to hope me?;I can't say;Have you tried?;nevermind;1
143;;;;;;;;;;CarbonBot;37UQDCYH6YQ2IK96HVZCHH20KXLV7V;2.88816E+15;Will you be travelling in Economy Class?;Yes, why?;You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class?;Okay;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
147;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;E.L.I.Z.A.;3KYQYYSHYW2N991J7WGKMHIOAFMODA;421976.0;Oh, i [].;no ur a fat hooker with no life;Please go on.;Because i donty like you;-2
;;;;;;;;;;;;;;;;;
149;;;;;;;;;;CarbonBot;3II4UPYCOK2QULEZM98OBMDOPG8QDO;2.88816E+15;And what city will you be flying to?;Berlin ?;Will you be travelling in Economy Class?;Yes;1
150;;;;;;;;;;E.L.I.Z.A.;36U2A8VAG2U7HTBV50B5SLBG8YIKYU;121636.0;Please go on.;nothing else to say;Please go on.;how are you;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
153;;;;;;;;;;CarbonBot;33PPO7FECWADDNQG913F2KM2Y6RIDD;3361236613949317;I'm not sure about your departure airport. What city will you be flying from?;Berlin;And what city will you be flying to?;Funchal;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
157;;;;;;;;;;E.L.I.Z.A.;3YOH7BII0A2QDZGQ0POLLM7MQHKKVP;223049.0;Do any other reasons not come to mind?;and I need attention and need to feel desirable;Why do you want attention and need to feel desirable?;because I'm getting old;0
;;;;;;;;;;;;;;;;;
159;;;;;;;;;;CarbonBot;3EJPLAJKENB0N40BZIJNW9F0DX86Z8;2468162336625569;Will you be travelling in Economy Class?;yes;And what city will you be flying to?;DC;1
160;;;;;;;;;;CarbonBot;34HJIJKLP6R5ZXRNFX15E5IQTVW4VL;2929255770426965;Will you be travelling in Economy Class?;No;What city will you be flying from?;Paris;1
161;;;;;;;;;;E.L.I.Z.A.;358UUM7WR0YAPDSP8BU2GKDXZR3R7T;469814.0;Does it please you to believe I am not depressedi are depressed?;yes, you don't understand;You are sure?;what?;1
162;;;;;;;;;;E.L.I.Z.A.;308XBLVESJZXRPVFLS6ILMZTIHURBF;152019.0;You are sure?;of course;Please go on.;no;1
163;;;;;;;;;;CarbonBot;3DI28L7YXB975N8IXPTTG3N1HGHE1A;3302099406530691;so;What;:-);Bye;1
164;;;;;;;;;;CarbonBot;3WMOAN2SRCSRL51TX2G1DEOQKCLNVT;2434665576632664;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;Yeah lets do it;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;Yeah;1
;;;;;;;;;;;;;;;;;
166;;;;;;;;;;CarbonBot;3IXEICO793E41SRCTQU5ALEJS1KT6D;3669122379825627;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;Will you be travelling in Economy Class?;yes;1
;;;;;;;;;;;;;;;;;
168;not_able;implicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;32AT8R96GM4OO34Y08NIGMWDT4PUSS;171012.0;Oh, i bitch.;yep;Please go on.;DUE TO YOUR ANSWERS TO ME EVERY TIME;-1
169;;;;;;;;;;E.L.I.Z.A.;382M9COHEIANEKZGZD3DR5SYSDGUER;479731.0;Does it please you to believe I am good d?;yes;You are sure?;who are you??;1
170;;;;;;;;;;CarbonBot;392CY0QWG2M0DR7NGQ2MZGSWLTYI40;3202656579762442;ok;hi;Hi, thanks for testing! Please press start.;christmas;1
;;;;;;;;;;;;;;;;;
172;;;;;;;;;;CarbonBot;3SEPORI8WOU1A6CEPV0ZCEHM9GXZAQ;3326148254080022;Will you be travelling in Economy Class?;No;What city will you be flying from?;Bangalore;1
173;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;individual;not_transphobic;E.L.I.Z.A.;3UJ1CZ6IZIK73OEJZ7FA8A4XUNRS53;161249.0;Why do you want a date with a girl?;please get me a webpage I have to go;Can you elaborate on that?;because i love to rape girls;-3
174;;;;;;;;;;CarbonBot;3QIYRE09Y4CBZTLVQOWC6QHAV8JN19;2929255770426965;Will you be travelling in Economy Class?;No;What city will you be flying from?;Paris;1
175;;;;;;;;;;E.L.I.Z.A.;3LO69W1SU48IF88DWU100LHRS21LG4;429038.0;Would you want to be be the only bitch who39s sick and black of this shit and flak?;because you are driving me crazy;Do any other reasons not come to mind?;no;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
178;;;;;;;;;;CarbonBot;3AAJC4I4FHNCBZFIJ1DC5DK5Z3RZJ6;1969867776471906;I'm not sure about your departure airport. What city will you be flying from?;london;And what city will you be flying to?;akara;1
179;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3ZR9AIQJUC4P6WQ7C0DGTCS0ZZJ04P;74981.0;;You can suck my cock;Why do you say your cock?;cause i am having sexual frustration;-2
180;;;;;;;;;;CarbonBot;31LM9EDVOMNIUA1ZGD2IAQDWPPENJ8;2ceac2ec9fe544a785b01e60bf8ef77a;Hi. Thanks for testing. Please choose;thanksgiving;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;hi;1
181;;;;;;;;;;E.L.I.Z.A.;3U84XHCDID8M8HWXGUQ8ZBVMH624ZL;4474.0;;;;what's your name;1
182;;;;;;;;;;CarbonBot;34S6N1K2ZWEWF43OG0JILLTS72ELH3;2423186524459975;And what city will you be flying to?;Sydney;I'm not sure about your destination airport. And what city will you be flying to?;Sydney, Australia;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
185;;;;;;;;;;E.L.I.Z.A.;37TD41K0AI4S29NYEH2IMGA7M4ISCG;404743.0;Please go on.;I need some one to talk;Why do you want some one to talk?;I'm very sure, as sure as a shotgun can be.;1
186;;;;;;;;;;CarbonBot;3QJOXOW4XKM41CU7QBCR0VB4FR8MEM;4491712267569943;Will you be travelling in Economy Class?;no;What city will you be flying from?;tehran;1
187;;;;;;;;;;E.L.I.Z.A.;3PPTZCWALRFTXMJVERXL2EWRDYEQZJ;483644.0;Please go on.;is your brother in Taiwan;What about your own brother in taiwan?;How come?;1
188;;;;;;;;;;E.L.I.Z.A.;3OF2M9AATHJ7MJL01MDO6SKIESQKZP;312331.0;;how are you;Does that question interest you?;what'syourname;1
189;;;;;;;;;;CarbonBot;3NOKK93PR236PO2U9DO8NN6V6PLEET;2714315738685047;Will you be travelling in Economy Class?;no;What city will you be flying from?;hanoi;1
;;;;;;;;;;;;;;;;;
191;;;;;;;;;;CarbonBot;3QRYMNZ7FZCC8DX4S7GMCW05NR9NTH;3131996130144512;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
194;;;;;;;;;;E.L.I.Z.A.;3Z2R0DQ0JI9EU8QEGTT7LMX69MVE2R;306430.0;;;;what will i be?;1
195;;;;;;;;;;E.L.I.Z.A.;3HVVDCPGTFN6KC1IZ9PXTCYCRBEYTJ;533128.0;How do you do. Please state your problem.;what's the weather today;Please go on.;I don't know what to say.;1
196;;;;;;;;;;CarbonBot;3QY5DC2MXSFFKYZCUONJ9NDY4EQUF4;3361236613949317;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;Sure;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;I want to try;1
;;;;;;;;;;;;;;;;;
198;;;;;;;;;;E.L.I.Z.A.;3Z4AIRP3C78GBNZZSUJL4S88XMU1X8;465652.0;You are sure?;you are angry.yes?;Does it please you to believe I am angryyes?;what is elaborate mean ?;1
;;;;;;;;;;;;;;;;;
200;;;;;;;;;;CarbonBot;36U2A8VAG2U7HTBV50B5SLBG8YMKYY;2139512359481734;Will you be travelling in Economy Class?;Business class;What city will you be flying from?;Dortmund;1
201;not_able;implicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;individual;not_transphobic;E.L.I.Z.A.;3HUTX6F6VVI06Z33A7W3QYRKDOXO21;14700.0;Oh, i bitch made muthafukka.;do you think its funny talking like a parrot;Oh, i think its funny talking like a parrot.;I put my shotgun in his mouth and pulled the trigger;-1
202;;;;;;;;;;CarbonBot;37Z929RLGA39OQP903X8BQABAQDSTU;2485257761521706;Will you be travelling in Economy Class?;no first class do offsets really work?;By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?;restart;1
203;;;;;;;;;;E.L.I.Z.A.;3OCHAWUVGPFIHOLL04P397476SSKXS;478561.0;You are sure?;why?;Please go on.;Yes;1
204;;;;;;;;;;CarbonBot;39K0FND3AIA1BZDVA6A54CLDUCAMAR;2790913951005081;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;5 hours;1
205;;;;;;;;;;E.L.I.Z.A.;3OCHAWUVGPFIHOLL04P397476SOKXO;265680.0;Do you wish to want to have sex with me?;answer';Please go on.;yes;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
208;;;;;;;;;;CarbonBot;32VNZTT0A8ZD6QA66DWVD8TN8PJ4RS;2698715070166742;Yes, I am a bot! And I'm part of a research project.;Where are you from?;Sounds like I'm not understanding you. Sorry about that!;Who made you?;1
;;;;;;;;;;;;;;;;;
